product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
Nintendo Switch Lite - Turquoise,5.0,Shipped great,"Reviewed in the United States on April 8, 2023",Color: Turquoise | Style: Lite Console,True,I love the Nintendo switch mini as a college student an came really fast,One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,"It’s perfect, simple and perfect.","Reviewed in the United States on April 1, 2023",Color: Coral | Style: Lite Console,True,"I wish I could adjust the brightness, but other than that it was all worth it and perfect. Will update in a couple months if things change",One person found this helpful
Nintendo Switch Lite - Turquoise,4.0,Great,"Reviewed in the United States on April 15, 2023",Color: Turquoise | Style: Lite Console,True,"Was a lovely experience 9/10 wish i could just type in a code though, Bluetoothing my phone was not preferred",
Nintendo Switch Lite - Turquoise,5.0,Great gift,"Reviewed in the United States on April 10, 2023",Color: Blue | Style: Lite Console,True,My son got it for Easter and it works great,
Nintendo Switch Lite - Turquoise,5.0,Perfect,"Reviewed in the United States on April 12, 2023",Color: Turquoise | Style: Lite Console,True,My grandkids live it,
Nintendo Switch Lite - Turquoise,5.0,The Condition,"Reviewed in the United States on April 9, 2023",Color: Turquoise | Style: Lite Console,True,"Great condition , perfect amount.",
Nintendo Switch Lite - Turquoise,5.0,Nice product just don’t work send another one,"Reviewed in the United States on March 30, 2023",Color: Blue | Style: Lite Console,True,I like products just don’t work please send another one I got one in my cart thank,
Nintendo Switch Lite - Turquoise,4.0,I’m glad I have one; I hate I bought one.,"Reviewed in the United States on August 17, 2022",Color: Blue | Style: Lite Console,True,"Nintendo must be raking in a lot of cash right now because they are selling hardware with a chip that nearing a decade in age. The net code for online games is clearly from the X360era, I jest not (with Mario Kart being the sole exception in my experience). Moreover, you have to spend money to use this infrastructure but the blame lies entirely on Microsoft for standardizing that. The analog stick drift is still an issue with this “budget” revision of the original.Despite all that, I decided to purchase this machine. Why? Gameplay-driven games or just games.  Nintendo clearly only has this one thing going on for them and that is they make excellent games, for the most part. If it’s something by their EPD division or Retro Studios, you’ll be in for a treat. However, everything else, especially the third-party games are massively inferior compared to the versions on the competitors’ hardware while having to pay more for those games, something which is commonly referred to as the “Nintendo tax” by the gaming community.People have been calling this a neat little machine for indie games. However, now that the Steam Deck is out and the wait times have been cut down significantly, I’d recommend that over this. But what about the difference in price you may ask. To that I say the games are cheaper on Steam and it really adds up on the Switch and before you know it, you’ll very likely have spent more money with the Switch than on the Deck. If you care about physical releases though then avoid the Deck.There are definitely some things I really like about the Switch. For one, I can now play games while lying on my bed. I can play games in the short breaks I take. I can swap out the physical games I own without much effort (I wish I could hot swap the SD card as well but as of right now, the OS doesn’t support it. Steam Deck does, however, so it likely is not a technical limitation.)As a new owner, you may have to get used to the form factor because the thing is very tiny and also quite light. This device is clearly designed for smaller hands. If your hands are big, then I’d highly recommend getting a feel for it in a brick and mortar store before purchasing one. I remember my first week with this thing cramping my hands playing Mario. But you eventually get used to it.The OS software is serviceable. They have made many additions since launch but it still remains quite minimal, a bit too minimal in my opinion.This Lite variant doesn’t have Joy-Cons so the D-pad on this console is now something that a human being can actually use.I like that I can play Zelda wherever I want. However, I hate the fact that I have contributed to encourage Nintendo to do what they’ve been doing with their Switch line-up.In short, it’s a neat little device that I wish wasn't priced this way and didn’t come with the annoyances that come with Nintendo hardware.",67 people found this helpful
Nintendo Switch Lite - Turquoise,5.0,Add a screen protector to it.,"Reviewed in the United States on March 31, 2023",Color: Turquoise | Style: Lite Console,True,My son is so happy with it. It works well.,
Nintendo Switch Lite - Turquoise,5.0,Works as it should,"Reviewed in the United States on March 25, 2023",Color: Blue | Style: Lite Console,True,Shipping got delayed but came the next day. Works great been a solid 2 weeks of fun with my new switch :),One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,Perfect!,"Reviewed in the United States 🇺🇸 on March 20, 2023",Color: Blue | Style: Lite Console,True,This was a gift for my 13 yr old son. It works perfectly! Arrived quick! My son is a very happy kid!!! I highly recommend!,
Nintendo Switch Lite - Turquoise,5.0,Perfect,"Reviewed in the United States 🇺🇸 on March 24, 2023",Color: Turquoise | Style: Lite Console,True,I ordered a Nintendo Switch and it is perfect! The shipping was fast as well. Thank you!,One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,Awesome,"Reviewed in the United States 🇺🇸 on March 23, 2023",Color: Coral | Style: Lite Console,True,It was a present for my girl and she loved it,
Nintendo Switch Lite - Turquoise,5.0,Great game,"Reviewed in the United States 🇺🇸 on March 27, 2023",Color: Blue | Style: Lite Console,True,Perfect my son loves it,
Nintendo Switch Lite - Turquoise,5.0,Awesome for kids,"Reviewed in the United States 🇺🇸 on March 25, 2023",Color: Coral | Style: Lite Console,True,Awesome for kids my girls just love it,
Nintendo Switch Lite - Turquoise,5.0,Cute little console,"Reviewed in the United States 🇺🇸 on February 26, 2023",Color: Turquoise | Style: Lite Console,True,"I’m so glad they made a handheld version!  the screen quality is way better than I thought it would be, and the console itself is light as a feather! Seller shipped quickly, shipping was swift, item arrived on time, &  delivery driver was friendly.",2 people found this helpful
Nintendo Switch Lite - Turquoise,5.0,They love it,"Reviewed in the United States 🇺🇸 on March 11, 2023",Color: Blue | Style: Lite Console,True,Didn't get 1st one had to contact Amazon  to get replacement  but after we got it they love it,
Nintendo Switch Lite - Turquoise,5.0,Great,"Reviewed in the United States 🇺🇸 on March 19, 2023",Color: Blue | Style: Lite Console,True,Arrived on time and with care. quality product,
Nintendo Switch Lite - Turquoise,5.0,The perfect switch!,"Reviewed in the United States 🇺🇸 on February 16, 2023",Color: Blue | Style: Lite Console,True,"This is the perfect Nintendo Switch. Why? The price and small size! It is much cheaper than the regular switch however, it is no less powerful, and the screen has the same quality! I highly recommend this switch compared to the regular or OLED switch, unless you really want to play with all your friends on the same console! Highly recommend!",3 people found this helpful
Nintendo Switch Lite - Turquoise,5.0,powerful gaming system in in the palm of your hands,"Reviewed in the United States 🇺🇸 on March 9, 2023",Color: Blue | Style: Lite Console,True,"great gaming system, keeps the kids entertained for hours.  very portable and battery lasts a long time",One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,Perfect,"Reviewed in the United States on March 8, 2023",Color: Coral | Style: Lite Console,True,This is a replacement. My granddaughter loves it.,
Nintendo Switch Lite - Turquoise,5.0,It was what I was looking for,"Reviewed in the United States on March 7, 2023",Color: Coral | Style: Lite Console,True,It was a gift to my granddaughter she loves it,
Nintendo Switch Lite - Turquoise,5.0,Great Console!,"Reviewed in the United States on March 4, 2023",Color: Turquoise | Style: Lite Console,True,Portable (obviously) and lots of fun! The battery could be better,
Nintendo Switch Lite - Turquoise,5.0,Perfect! Absolutely Perfect!,"Reviewed in the United States on February 20, 2023",Color: Turquoise | Style: Lite Console,True,Got this as a gift to my oldest sister. All three of us play together now for hours. It works perfectly and she loved the color. Can't wait to get games we can continue to play together 💖,One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,Very Compact,"Reviewed in the United States on December 28, 2022",Color: Blue | Style: Lite Console,True,"Let me start this by saying, I already have the V2 Switch, so I didn’t see the purpose of getting the switch lite.First impressions:- It’s slightly smaller than the V2- it’s lightweight but sturdier compared to the V2- It feels durable and actually has a d-padCons:- It doesn’t have the capability to dock like the V2 or OLED models- if the controllers break, they aren’t easily replaceable, as the controllers are a part of the console unlike the detachable joy cons on the V2 or OLED modelsOverall:I’d say this is a great way to get into handheld gaming, take on short or longterm road trips, or just for kids in general. It’s a fun, affordable, and compact option for new gamers and old gamers alike. Definitely a collector’s item and did I mention fun? 😂But for real, I love this little device",12 people found this helpful
Nintendo Switch Lite - Turquoise,5.0,Loves it,"Reviewed in the United States on February 23, 2023",Color: Blue | Style: Lite Console,True,This is absolutely amazing. My 4yo loves it. He has no issues navigating his way around & getting what he wants to do on it,
Nintendo Switch Lite - Turquoise,5.0,LOVE,"Reviewed in the United States on February 27, 2023",Color: Coral | Style: Lite Console,True,honestly i can really say that i truly love it! its perfect for portable use & the quality on it is very surprising!,One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,Salió muy bueno,"Reviewed in the United States on March 5, 2023",Color: Blue | Style: Lite Console,True,Salió muy bien 👍,
Nintendo Switch Lite - Turquoise,5.0,Great alternative for younger kids,"Reviewed in the United States on January 28, 2023",Color: Blue | Style: Lite Console,True,This is our first step into a gaming system specifically for our daughter. Usually the Xbox or PS5 sits in the living room. The switch lite is a great introduction into her own gaming system that doesn’t break the bank and it doesn’t leave us in a panic if it gets “misplaced”. The screen is too notch and of course the games are fantastic.,One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,PARENTS BEWARE: This could be useless to you too!,"Reviewed in the United States on September 22, 2019",Color: Turquoise | Style: Lite Console,True,"Gave it 5 stars because there is nothing wrong as described, but parents may want to read this:I have two kids and we already own the original Nintendo Switch and have amassed over 40 games throughout the 2.5 years since the Switch's release. The Switch Lite although nothing physically wrong with it, is completely useless to me and my family. I have two young kids, and all 3 of us have our own profiles which are linked under my main account via Nintendo ID. The problem is is that only the main account holder (me) can play the purchased games on both devices. So the Switch Lite does not work for either of my kids, only my main account. Yes, this can be switched by changing which Switch device is the ""primary"" switch, but the fact still remains that under NO conditions can my kids play both switch consoles at the same time, even if it is two separate games. If you have cartridges instead of digital downloads, you will not have this problem. I just fail to understand Nintendo's logic with this. I understand that they are trying to protect their own content from unauthorized use, but in doing so are rendering their newest device completely useless to customers like me. I will be returning.","4,137 people found this helpful"
